#{"t_start": 1783036903.96592, "env_id": "None"}
r,l,t
113.143936,337,32.855687
13.656825,26,32.896373
12.447364,49,32.925276
33.834816,80,33.098189
65.775665,199,33.105492
3.1563058,7,33.110924
8.79709,25,33.144914
11.705303,43,33.154502
5.0836463,17,33.182823
21.223291,54,33.196768
14.67011,33,33.199169
4.4522896,6,33.207733
11.904664,44,33.273795
28.91344,94,33.329004
24.431503,58,33.364804
3.3964589,15,33.388882
32.08541,82,33.454949
35.51105,83,33.514748
87.61979,240,33.566797
20.741358,57,33.653456
54.63928,133,33.657256
45.738285,136,33.722187
30.50937,68,33.761461
3.074231,9,33.775789
25.3464,54,33.804316
3.3205884,6,33.816345
7.1959414,16,33.841372
183.94022,512,33.850931
45.7084,128,33.85469
11.818556,19,33.880788
11.013859,33,33.893194
7.335346,18,33.922203
8.510503,27,33.924933
3.43483,7,33.935546
1.6713573,8,33.939503
18.030405,54,33.943475
47.730247,118,33.966596
11.788332,30,33.983508
42.615273,109,34.106525
38.832558,96,34.110463
63.8496,150,34.16837
27.889877,84,34.239231
4.6852818,10,34.255408
24.448772,65,34.268357
2.2738507,8,34.2684
119.97559,315,34.46113
26.152615,89,34.59506
161.01767,457,34.951035
1.224244,5,34.959252
3.0232418,11,34.976516
129.8204,377,34.990153
7.7891726,14,34.999793
114.72832,396,35.018954
41.67181,110,35.161081
59.678932,141,35.199773
16.399328,38,35.256674
43.475296,107,35.322936
24.893454,56,35.407229
99.21615,275,35.431104
46.862644,147,35.479384
165.62143,512,35.518964
33.294083,85,35.537642
25.351128,58,35.624364
56.59108,145,35.650543
3.5125678,7,35.662366
4.679993,8,35.675106
5.9443913,10,35.690808
40.67932,130,35.719019
15.672687,36,35.74675
49.37714,119,35.806244
17.612333,48,35.817307
3.3951862,11,35.836036
37.973927,109,35.883643
15.613417,52,35.887746
8.229965,17,35.913644
104.743454,291,35.924537
6.694774,13,35.936612
15.222623,39,35.948636
5.807784,18,35.976398
27.843803,92,35.981781
16.31148,48,36.011114
37.701504,110,36.095158
7.6771235,21,36.125848
36.322212,121,36.163731
56.732746,165,36.256806
26.939138,68,36.264034
22.268759,52,36.334587
9.936456,16,36.359876
29.430616,78,36.538519
6.7125726,24,36.577038
-0.08545963,3,36.582697
69.734215,200,36.588139
2.455199,5,36.596716
14.355746,38,36.640725
109.759254,346,36.656891
32.674442,95,36.666433
11.062045,22,36.693781
16.616362,30,36.713071
9.552051,17,36.719579
48.64602,126,36.831922
32.197647,88,36.850191
35.07083,100,36.863017
7.9579268,21,36.865452
89.13018,265,37.000055
38.362144,94,37.008279
11.9143305,30,37.044935
58.149952,182,37.312421
8.035327,18,37.340859
7.16852,15,37.363782
4.041553,8,37.376675
4.5638075,11,37.393143
6.5872498,23,37.429326
9.674114,20,37.45953
133.70381,415,37.478533
7.75363,14,37.484645
6.192901,9,37.49491
12.632003,27,37.539512
2.2410414,6,37.548848
188.86594,496,37.619929
32.990337,83,37.745388
173.80623,512,37.785697
12.396427,37,37.80288
8.461666,35,37.842691
37.277813,114,37.977766
99.87241,293,37.994433
10.916451,19,38.007213
4.8725805,14,38.02854
130.64238,361,38.040569
32.87529,92,38.331469
67.185814,158,38.438983
7.531872,19,38.469244
77.34106,241,38.522785
55.824196,159,38.573045
5.158083,13,38.594061
17.194387,27,38.634756
25.899307,77,38.642662
5.2533765,12,38.661138
34.765022,80,38.761073
4.7084055,12,38.783253
183.50774,510,38.790506
16.697035,40,38.852024
32.13259,106,38.948593
134.52303,419,39.119188
106.07597,313,39.146656
69.0644,167,39.19865
32.82082,74,39.25569
105.89337,307,39.315835
54.109768,146,39.338603
12.455623,26,39.35573
2.1336586,6,39.365585
32.528633,118,39.378162
4.0563087,7,39.389433
3.6795745,11,39.407894
16.05736,53,39.423946
62.10125,147,39.482687
18.491684,44,39.489259
28.765684,63,39.576451
26.836636,75,39.60097
8.426485,17,39.60349
5.2396913,12,39.622139
13.612591,39,39.664011
30.73904,71,39.728521
12.355875,44,39.730887
89.27615,268,39.811012
26.435545,71,39.994895
11.967652,48,40.067858
43.200615,120,40.071586
5.13947,14,40.089909
7.545011,14,40.09394
3.4646873,11,40.108294
6.076183,17,40.120458
4.7664647,14,40.142079
21.445438,59,40.196696
9.959316,43,40.262673
179.53563,512,40.303813
40.399185,123,40.325916
108.294685,353,40.505146
55.10704,149,40.548568
13.599398,30,40.551236
67.67654,193,40.551262
15.209117,32,40.598783
0.8834855,2,40.602643
6.1909924,12,40.620736
37.04333,92,40.692668
3.7031512,9,40.709047
84.946915,286,40.74313
16.733326,37,40.771936
65.920265,159,40.870633
35.24074,95,40.914905
74.29763,196,41.162195
3.2402108,10,41.177524
140.3543,430,41.20922
5.3259783,11,41.226568
21.50398,47,41.251152
93.21498,242,41.278119
17.754673,46,41.296173
11.210542,22,41.311892
20.310156,53,41.33374
131.9632,406,41.359794
18.922201,43,41.365177
1.885425,7,41.372301
6.371492,25,41.374554
6.402946,15,41.397078
4.436667,10,41.413697
20.76011,53,41.449991
33.973118,103,41.476196
11.047778,41,41.512262
12.795783,27,41.711747
45.551792,152,41.767229
30.63145,98,41.785591
13.090027,44,41.852062
23.903805,61,41.860416
8.048016,18,41.879713
4.514249,13,41.899133
14.3218155,36,41.953206
5.8474975,13,41.973897
8.011049,22,42.007431
7.9596367,29,42.050491
79.257645,252,42.097425
5.473589,16,42.121387
7.3117704,11,42.138734
37.446312,98,42.201802
7.6653657,18,42.229265
24.790308,69,42.244189
3.8292294,10,42.26022
7.992017,22,42.29441
18.656818,71,42.337302
15.276707,31,42.341182
188.99644,512,42.3565
5.820388,25,42.37825
14.89339,38,42.415762
7.0706306,13,42.435759
18.677118,43,42.444393
8.950596,19,42.464952
1.1425307,9,42.480402
3.1635447,11,42.497249
19.984978,51,42.525606
14.982541,55,42.607734
179.08418,512,42.670681
24.226263,55,42.692895
12.121679,31,42.739908
47.884666,134,42.755761
7.3869877,23,42.775523
35.49331,106,42.83688
34.333836,99,42.931878
11.880679,28,42.974008
2.2072923,5,42.982081
43.699818,105,43.001817
19.292648,50,43.05838
19.749292,39,43.117766
31.408829,98,43.150586
170.00316,512,43.160676
1.8142074,7,43.172019
5.6616464,14,43.174483
7.483773,14,43.194623
26.64406,81,43.248404
4.243864,12,43.267565
31.174088,83,43.304106
8.102386,26,43.503422
47.99306,125,43.548183
155.29332,440,43.596283
51.292885,148,43.650627
7.0353003,21,43.68207
59.93686,168,43.757228
21.179955,80,43.800671
10.448244,17,43.825954
25.327179,55,43.838863
69.1459,200,43.897323
28.041937,60,43.987575
102.79499,267,44.238263
104.413345,283,44.251003
11.941347,35,44.305079
166.34247,512,44.317749
9.645059,31,44.35242
36.15208,127,44.539576
90.30416,237,44.59382
33.76174,89,44.670942
8.525468,20,44.703494
187.45189,512,44.753012
12.384979,27,44.793764
37.835346,117,44.876434
3.6070726,7,44.887237
27.373983,71,44.901764
27.04901,77,45.003074
110.65278,305,45.209506
10.681899,33,45.213688
173.94055,512,45.243145
11.78446,26,45.281217
26.433432,74,45.324828
24.27301,50,45.356688
12.298643,22,45.390179
51.39047,142,45.425135
31.94542,81,45.448791
7.760126,16,45.473208
17.51375,42,45.49055
5.3789377,12,45.508321
19.262287,47,45.54621
2.6934307,4,45.553109
112.303276,329,45.56143
16.263685,39,45.570945
54.418163,144,45.611516
17.541721,35,45.614032
7.655469,13,45.634042
6.7711,16,45.638634
4.6950603,11,45.653593
26.979296,68,45.66071
30.716213,75,45.687812
9.319467,21,45.693303
13.045884,36,45.71004
8.853641,26,45.731819
37.3166,98,45.790717
29.599699,73,45.800651
5.1933126,12,45.819065
24.768671,65,45.916217
9.911378,21,45.948682
6.0934405,15,45.973423
63.364662,161,45.980398
4.627201,16,45.998825
90.93281,223,46.05068
16.13234,50,46.075204
75.41894,201,46.372858
89.6521,279,46.465753
23.240997,66,46.470829
0.39592573,1,46.473263
2.9489996,5,46.482026
0.83258045,3,46.488111
185.672,512,46.56395
26.151566,77,46.585727
7.434425,17,46.591824
44.031994,123,46.673577
4.396214,12,46.693537
172.42145,512,46.91239
32.28367,93,46.990946
37.29481,103,47.063973
22.139462,52,47.069333
89.18197,246,47.121148
25.889061,60,47.155684
14.971848,30,47.200131
111.8915,307,47.208477
5.5663147,15,47.225619
14.046209,31,47.256936
7.317437,28,47.298342
62.779175,167,47.322513
29.751518,102,47.377795
72.200066,193,47.411034
28.89643,80,47.417647
26.716,78,47.440084
2.4752905,6,47.449756
14.981716,44,47.486385
19.096855,59,47.503318
3.210889,11,47.520417
31.160831,102,47.536193
15.143888,36,47.545503
12.840653,43,47.591732
13.259096,38,47.599604
42.619797,107,47.621243
11.89851,23,47.629504
6.5930896,26,47.641914
23.391348,75,47.755419
35.863228,101,47.784472
5.8650303,11,47.801828
11.766926,35,47.810165
47.088017,123,47.812526
2.8966594,10,47.828068
40.529053,103,47.971635
6.2051377,16,47.996467
37.746037,141,48.045472
18.283241,42,48.110445
9.912821,27,48.15055
10.485251,28,48.195741
172.8914,512,48.338072
5.862369,9,48.351747
147.188,512,48.738619
1.9668567,10,48.753848
15.693773,42,48.816307
4.1842074,7,48.827503
3.8473473,6,48.83688
169.32695,512,48.925183
6.009409,10,48.940721
27.424433,70,48.943014
15.2681675,31,48.988733
14.95511,27,49.031418
8.8427,12,49.050173
3.7806077,7,49.061614
23.205408,79,49.06409
118.70155,390,49.096954
6.19825,22,49.096999
7.2979302,19,49.127636
154.92288,512,49.127698
14.58408,39,49.1576
9.947116,23,49.162853
3.1004798,8,49.171533
14.838246,42,49.192457
13.273597,38,49.251714
48.91652,156,49.399964
36.067345,114,49.423319
20.531355,52,49.479771
31.145433,88,49.61112
137.86475,371,49.62671
3.7221603,10,49.643448
59.484543,168,49.862353
62.567215,151,49.867564
99.685356,307,49.884358
7.4802895,20,49.894089
11.459921,20,49.899451
2.924702,9,49.909253
5.242622,21,49.93183
163.52509,512,49.94555
14.983762,21,49.979689
24.458555,55,50.017066
3.162725,12,50.035926
11.10779,22,50.071015
2.921604,7,50.082662
3.6909606,9,50.097023
6.0767455,25,50.134445
15.082559,33,50.341025
72.48224,202,50.355674
7.897879,19,50.386921
11.006496,20,50.416346
77.37657,211,50.460283
5.1306224,18,50.489362
29.552923,119,50.523197
26.65792,53,50.567525
24.164946,50,50.644014
13.375126,38,50.703544
158.72966,452,50.762544
7.844424,19,50.793424
69.3734,186,50.987603
11.613116,36,51.043241
18.695467,48,51.11326
71.96166,227,51.134375
14.167442,25,51.152814
6.2465725,12,51.152863
170.41609,512,51.19421
8.44668,15,51.219704
20.543724,76,51.270207
165.32811,512,51.304394
1.6789317,5,51.312326
8.378253,14,51.336925
5.7474165,16,51.361803
26.528553,63,51.370097
1.3117713,3,51.375715
53.596485,143,51.378271
9.984687,15,51.388127
15.779096,36,51.432222
14.546053,44,51.455362
25.473122,64,51.528508
68.67594,219,51.560248
14.082151,51,51.606481
11.558625,32,51.6088
7.3540907,18,51.636316
6.947373,15,51.660372
4.2380447,13,51.680345
4.2536435,14,51.701763
56.195946,181,51.731699
17.289139,52,51.811102
107.137505,286,51.816513
3.0261953,9,51.826353
2.0793273,3,51.831574
9.974478,14,51.839831
2.9598086,4,51.847467
7.6564927,14,51.856504
76.38964,203,52.079994
25.886198,54,52.160239
81.9626,240,52.226168
19.125689,46,52.230173
52.57054,151,52.234011
11.8891735,24,52.267594
10.722105,40,52.289999
18.028275,44,52.302825
16.236319,54,52.370582
37.177876,121,52.449827
3.4366903,13,52.469417
13.443567,45,52.538179
6.089697,11,52.555005
72.981316,184,52.579347
2.863358,6,52.589881
66.549515,164,52.623691
6.774104,22,52.628325
34.5747,89,52.764066
180.81955,512,52.797005
16.971432,36,52.821039
12.077948,27,52.861424
35.65962,96,52.965487
42.96875,133,53.165167
6.1892014,11,53.18225
11.854533,29,53.22975
97.90397,308,53.354309
172.41805,512,53.367226
6.226528,11,53.372287
35.25833,97,53.380556
3.5465877,6,53.390407
161.72845,512,53.433071
44.34173,116,53.545582
4.9825344,13,53.566331
3.9450848,14,53.588231
6.827465,10,53.603946
36.28607,79,53.880167
15.677893,55,53.961885
109.22772,350,54.059513
119.276146,337,54.098933
147.86945,424,54.187459
56.53367,153,54.328217
12.348356,20,54.358124
8.904913,14,54.381463
91.99563,288,54.396408
11.541791,31,54.442234
9.79131,34,54.495177
46.777626,122,54.564988
2.3091755,10,54.580682
4.983778,17,54.60795
30.337639,77,54.612108
10.420733,19,54.637998
5.456937,18,54.665486
169.94559,512,54.835633
48.555138,136,54.869823
162.22882,512,54.964561
44.47944,91,54.974014
40.921993,101,55.025069
1.539422,3,55.031093
17.91562,46,55.037937
5.9154434,13,55.052034
13.68022,24,55.074529
10.456042,29,55.119513
12.900037,30,55.164786
3.0720594,11,55.182317
14.179418,29,55.226898
45.764896,136,55.260036
6.029825,24,55.264235
4.2885737,15,55.283725
19.537968,38,55.320914
6.777104,31,55.331206
151.9654,512,55.560159
17.88323,52,55.575414
143.4643,512,55.91334
84.93188,241,55.917218
101.53227,309,56.032268
40.216103,91,56.052932
0.85160625,1,56.055427
46.28038,111,56.082213
17.721256,34,56.087501
20.477577,62,56.180096
30.502401,83,56.182612
24.235817,68,56.186564
3.0172513,8,56.196552
4.7462416,6,56.196592
8.197377,19,56.225565
19.094051,39,56.242367
162.78476,512,56.25758
6.200125,11,56.27676
18.512442,53,56.354294
7.557311,27,56.396675
42.280575,119,56.407974
1.6266867,6,56.417511
55.02,149,56.467715
4.4055605,11,56.486891
74.962,243,56.564845
5.6471004,17,56.593463
35.716534,92,56.627663
33.190887,101,56.777809
58.946877,149,56.819651
7.8407755,17,56.844148
31.932459,97,56.924904
109.1405,360,56.96109
39.560104,101,56.995266
9.207802,26,57.00141
27.339819,74,57.038744
159.19167,467,57.26518
33.68665,77,57.27518
6.7988586,10,57.290134
27.661392,70,57.305201
6.851847,20,57.322017
8.445315,23,57.343124
9.402814,36,57.39506
45.606133,114,57.439247
132.92345,369,57.720866
25.002476,59,57.810658
3.3844635,7,57.822187
79.900406,255,57.825908
30.08055,63,57.917205
146.0824,512,58.100055
13.787235,31,58.146521
52.04527,158,58.161026
170.35321,512,58.175885
1.265608,7,58.187518
10.088306,25,58.187567
1.1386958,3,58.193091
11.204407,25,58.202832
4.064452,18,58.232361
33.734432,73,58.305764
8.800203,13,58.325787
97.86938,326,58.33386
2.234748,6,58.336395
37.646904,106,58.362502
2.884878,15,58.387875
44.825962,103,58.540968
10.932087,20,58.571515
66.450714,177,58.605007
102.63271,303,58.792345
1.4847854,4,58.799458
17.964891,33,59.009793
61.578835,193,59.023176
13.947655,37,59.066873
14.816953,26,59.104077
7.630707,14,59.128008
34.788742,89,59.157916
176.61018,512,59.173765
9.155768,17,59.18495
9.668182,28,59.227184
25.164913,76,59.245155
33.688015,84,59.354632
14.058363,35,59.406462
6.832334,14,59.42893
7.9545965,20,59.4613
10.222135,24,59.497036
70.75803,216,59.504071
4.8588295,9,59.512498
4.9307594,11,59.522291
171.88612,512,59.545315
5.029973,20,59.554928
4.2084584,18,59.572991
3.1931086,9,59.58705
12.443195,38,59.643633
2.906628,11,59.66106
52.058342,119,59.731694
31.393234,95,59.800501
3.515338,10,59.816305
17.867014,31,59.865013
22.719234,43,59.928983
6.6392946,10,59.944796
172.03445,512,60.023566
57.555775,130,60.138813
4.7983027,13,60.158686
159.76242,433,60.167963
2.5039382,13,60.181134
105.224915,324,60.222778
19.263763,45,60.237432
9.014297,21,60.267797
25.089142,64,60.364573
63.70431,167,60.433416
8.631382,21,60.46551
105.435585,297,60.846948
11.1598425,31,60.893049
74.95129,241,60.905289
13.941634,38,60.962514
2.769235,7,60.973696
173.29735,512,60.973741
56.39647,144,61.211754
77.16001,215,61.242257
16.906868,31,61.288698
157.59212,450,61.34387
8.310119,16,61.369154
98.73674,311,61.467372
8.11165,16,61.491663
33.016747,87,61.501455
10.14427,26,61.53265
11.091586,22,61.53696
13.260978,30,61.579253
88.58357,246,61.59032
4.7633324,10,61.595744
10.492809,17,61.616164
30.692614,87,61.693969
7.723581,23,61.728461
14.686024,24,61.766912
56.118824,168,61.87518
24.328438,73,61.877802
13.486979,32,61.926486
3.5769646,5,61.93462
6.490594,16,61.959068
20.622145,49,62.033872
7.6899877,18,62.06267
49.99092,126,62.071695
1.4107127,7,62.076065
5.745701,7,62.087671
175.21259,512,62.103114
9.782843,30,62.119483
24.122179,46,62.157463
11.908152,38,62.16151
7.677665,13,62.180371
20.388855,45,62.191862
17.082386,45,62.250973
2.5195146,10,62.26652
21.475069,55,62.27993
25.939762,75,62.284187
6.7080703,25,62.308786
14.068428,28,62.503791
17.354986,42,62.528461
14.350158,35,62.558005
152.51476,512,62.616061
27.665186,80,62.67654
38.713512,125,62.676583
41.753822,106,62.778322
58.98254,175,62.796465
32.592308,96,62.829005
11.059701,28,62.841709
34.035797,99,62.989179
62.58661,179,63.055471
68.01741,161,63.076328
39.352062,128,63.188514
31.113102,75,63.191141
5.729884,23,63.226137
12.522424,30,63.240211
6.563925,10,63.244489
17.447054,30,63.29138
5.1797037,12,63.310739
23.80314,59,63.335703
1.193218,6,63.34608
27.865389,73,63.423104
192.97002,512,63.473445
9.65042,29,63.516428
22.503056,58,63.604965
162.07971,487,63.798734
108.33252,301,63.873186
18.22712,51,63.948691
4.987047,14,63.971152
87.64019,250,63.978375
3.861007,7,63.989886
8.542567,20,64.003817
161.89888,512,64.269004
48.721474,148,64.365074
5.579557,19,64.394675
29.42395,67,64.495562
8.302341,29,64.539803
73.72745,220,64.599794
20.957994,83,64.663959
185.40042,512,64.725952
37.187344,129,64.79158
187.3104,512,64.925551
2.3760293,6,64.935496
3.111121,6,64.945523
2.055854,5,64.953956
69.882774,198,65.024915
3.2924032,8,65.037315
80.541374,187,65.07568
13.1918545,40,65.137303
41.21441,124,65.22195
30.244207,76,65.250351
5.5933485,14,65.272037
1.7232985,3,65.277504
7.8007,23,65.310983
10.987206,20,65.34265
35.245464,87,65.35747
8.488785,21,65.38868
2.716028,7,65.399705
11.178975,23,65.435311
186.36203,512,65.441233
6.2113514,11,65.454284
8.577449,31,65.489093
6.2480865,15,65.512066
44.147285,114,65.52021
9.012428,15,65.545766
20.470173,61,65.551195
8.2750635,13,65.566979
3.955199,15,65.575216
6.2099786,13,65.587911
14.437474,28,65.617382
32.155495,67,65.619619
14.599682,24,65.624628
1.5416082,7,65.631425
3.4231117,13,65.640827
7.125738,15,65.656909
11.051788,25,65.667002
177.49915,512,65.743389
9.904558,28,65.942442
46.942223,127,65.992497
17.03958,45,66.011748
77.35429,222,66.151704
38.744537,98,66.151777
74.29986,235,66.163438
15.965255,44,66.219751
66.1123,185,66.264788
15.557699,38,66.278932
26.305508,51,66.342632
19.955212,51,66.355089
4.5559015,13,66.376017
14.402827,38,66.403144
14.482608,40,66.437537
9.476254,24,66.473099
21.815174,67,66.505501
91.8075,258,66.547265
109.11128,311,66.637497
12.018226,20,66.667482
38.899048,106,66.708533
16.024479,46,66.738901
68.49601,183,66.753027
11.767641,32,66.758314
15.638994,36,66.809316
3.7669616,9,66.823752
11.62117,28,66.865074
8.613021,28,66.908721
10.645935,30,66.9541
58.373627,159,66.982339
3.6731586,18,67.010551
6.629408,10,67.027119
81.31965,194,67.056112
8.58671,24,67.06463
38.08196,95,67.198484
11.792348,29,67.243402
155.4448,485,67.246065
73.940956,232,67.305693
39.56549,85,67.377516
14.5698595,33,67.427947
25.66354,81,67.435122
7.9055715,23,67.470555
12.538734,29,67.67831
89.19587,222,67.752693
176.44377,506,67.998829
87.47695,233,68.032206
107.73699,326,68.092972
79.869576,216,68.363881
27.719055,80,68.48648
8.142673,21,68.519068
3.2494605,5,68.527851
186.88835,512,68.534902
122.88897,374,68.574989
16.238184,39,68.594485
7.9019375,27,68.617895
29.159834,60,68.621964
35.474,95,68.738168
1.6333354,3,68.743551
2.1648476,4,68.750266
32.767506,103,68.774265
24.898495,70,68.853806
174.98497,512,68.872294
22.456545,52,68.95009
19.93423,36,69.002933
38.27365,88,69.134741
88.310745,223,69.186596
144.18118,383,69.19459
5.3789587,13,69.213719
15.869557,29,69.418959
17.98247,51,69.425303
5.8128986,14,69.448616
62.40975,162,69.53895
20.547535,65,69.544576
9.178083,17,69.57078
5.9179974,23,69.605473
165.5472,459,69.624177
9.852703,18,69.633829
59.554623,142,69.636293
5.8413525,20,69.667305
24.137506,40,69.727026
30.009497,77,69.744306
7.9949555,16,69.752864
10.883953,24,69.782819
5.7737665,13,69.802789
23.903397,47,69.872917
70.66856,188,70.03611
28.349316,83,70.160793
71.30295,196,70.168954
9.605101,21,70.217327
10.0889845,37,70.273497
178.48499,512,70.342703
48.865643,125,70.380378
34.592247,82,70.398787
8.436659,19,70.411902
5.732601,17,70.437845
183.43465,512,70.440243
21.625713,68,70.449731
13.694415,37,70.49767
9.409269,22,70.531099
47.957172,101,70.555195
4.0797324,18,70.582587
1.351178,2,70.586311
5.4731636,15,70.610121
5.1169744,16,70.634185
52.60594,154,70.683849
58.549698,198,70.741638
32.810715,79,70.75446
8.793762,16,70.767399
12.546759,38,70.825874
35.092697,82,70.950649
25.650534,81,71.225349
32.511456,95,71.365666
117.1034,308,71.372049
6.6742826,19,71.400874
165.22884,512,71.460211
3.8127837,14,71.48134
10.200992,16,71.504991
26.267113,61,71.597172
183.58406,512,71.612859
70.30732,217,71.694934
60.095356,197,71.700455
2.6345577,8,71.708668
30.70276,77,71.716824
15.519037,41,71.771649
34.02254,74,71.813115
4.9849653,10,71.828404
44.207253,123,71.954285
178.52979,512,72.376476
3.4610786,9,72.392307
5.549728,17,72.418927
15.101364,41,72.479297
179.09105,512,72.479361
1.991835,5,72.488831
28.763838,66,72.587485
178.78902,512,72.593442
140.73895,453,72.633533
18.744078,53,72.841222
57.938053,153,72.883396
5.003546,10,72.899676
26.36069,68,72.909588
9.402838,24,72.939721
0.42578897,2,72.943927
8.537358,23,72.947871
59.341187,129,72.966812
7.8939824,15,72.972417
12.535359,22,72.980438
4.079366,12,72.991469
7.274945,25,73.030722
45.65584,124,73.039744
5.2276897,12,73.051436
27.822283,60,73.136988
3.6566057,12,73.155784
59.796825,151,73.217371
44.82534,127,73.34983
3.7178357,12,73.369249
83.16786,240,73.423109
16.737675,37,73.480638
30.650476,89,73.50577
18.246504,53,73.562051
1.7236196,8,73.575227
93.42034,250,73.603977
12.181583,29,73.619775
25.670076,48,73.678036
48.521267,131,73.706219
154.24141,512,73.76201
50.1589,124,73.808621
13.785575,18,73.83568
15.887184,53,73.842732
14.317507,25,73.881722
11.838,27,73.922553
13.812945,36,73.978144
51.118042,135,74.04273
35.028187,66,74.079074
16.599232,24,74.114883
26.82263,84,74.239574
150.94156,430,74.330441
2.900074,6,74.34005
18.127491,40,74.401863
22.061998,53,74.645457
174.61375,512,74.649459
5.1849775,14,74.670539
83.09315,220,74.737427
130.42357,366,74.760032
24.749105,61,74.762272
25.851788,55,74.842987
22.360106,67,74.860019
45.714245,142,74.951031
36.623093,93,74.999887
9.549293,40,75.012308
49.148846,113,75.016697
6.6580553,15,75.027141
12.170457,20,75.04553
11.670654,26,75.084353
2.8705728,5,75.092652
1.1554104,4,75.099786
22.67876,57,75.115799
32.800568,80,75.142098
6.501898,15,75.165195
10.323559,18,75.192555
30.328266,98,75.250204
14.752453,29,75.293275
24.907227,79,75.311206
13.34644,37,75.349758
5.312042,16,75.374752
182.17294,512,75.425888
3.6180987,8,75.439649
35.74772,104,75.472675
17.697506,31,75.487929
3.2387362,16,75.497789
103.5965,309,75.587653
12.482182,19,75.616412
30.82899,52,75.695781
83.16734,250,75.865689
4.3003407,11,75.882827
62.579067,194,75.988152
4.3945446,13,76.008606
31.230524,85,76.012405
7.562816,16,76.037005
138.54755,432,76.313091
189.79169,512,76.315571
8.339464,23,76.347837
47.486027,156,76.406488
14.86077,35,76.457342
13.064116,21,76.489874
72.90919,192,76.635266
32.32874,98,76.637486
8.370406,15,76.65892
11.980934,29,76.681931
6.9488125,16,76.684378
0.9841286,3,76.690309
18.400698,53,76.763337
3.3443542,9,76.777364
23.446657,65,76.788331
25.28164,47,76.850025
3.6081698,9,76.864211
181.99518,512,76.972901
44.079735,99,77.013604
66.28695,194,77.080612
181.36073,512,77.089122
0.3947131,3,77.094507
10.252035,20,77.126734
33.712803,82,77.139272
26.265247,71,77.233086
26.556978,74,77.250408
42.479687,122,77.269032
6.700241,19,77.29698
18.435293,50,77.311111
82.62592,226,77.320045
8.533207,18,77.328757
6.319442,19,77.357029
13.028396,24,77.393268
38.34836,108,77.417794
20.683855,47,77.488448
2.2959123,12,77.507005
52.947487,146,77.544313
24.676712,45,77.577721
11.665162,26,77.584434
2.4172351,7,77.589786
7.6369658,11,77.602604
15.137557,39,77.650381
94.01694,260,77.711858
22.691536,53,77.731278
34.049843,90,77.742371
11.388151,21,77.747816
6.3476872,23,77.778409
16.669065,46,77.820292
62.296146,196,78.194429
6.0934124,16,78.218485
5.8227253,8,78.232144
2.6592748,6,78.242531
171.89803,512,78.344456
24.133537,58,78.434799
54.67632,167,78.498689
147.97116,437,78.645759
44.000553,104,78.654408
164.57043,512,78.721317
84.663765,234,78.787332
72.9294,202,79.085977
102.55373,338,79.158853
21.68471,57,79.243975
123.6482,353,79.247901
19.005424,57,79.331873
80.42605,200,79.386269
194.08449,512,79.412331
24.788303,56,79.41813
47.691643,116,79.42074
2.3531306,8,79.428239
5.6626596,8,79.435164
17.298628,36,79.489068
34.596306,111,79.558407
20.175623,47,79.560862
7.6807065,12,79.741544
12.243734,29,79.784325
30.070095,67,79.885167
8.228974,32,79.933768
83.39088,236,79.942927
106.364365,318,80.071548
22.93399,55,80.15468
6.397435,14,80.17726
4.214966,9,80.191418
126.673996,369,80.28195
45.86793,133,80.388663
14.434282,29,80.432016
123.978065,345,80.45931
2.453181,5,80.468168
17.09502,33,80.51783
56.201378,162,80.524989
10.623007,19,80.54743
115.09872,407,80.547458
2.9479864,12,80.566723
8.07349,22,80.582933
6.3947787,13,80.602869
20.949965,63,80.622398
27.933764,63,80.663042
20.540192,51,80.682081
62.693077,163,80.686367
5.649462,19,80.696263
20.087635,36,80.740099
12.398396,33,80.74827
15.952578,52,80.767942
14.709083,24,80.80755
4.913186,11,80.824924
62.48346,137,80.840921
12.752255,35,80.879481
16.480118,46,80.949398
52.49777,130,81.037698
72.679,241,81.1106
43.491413,124,81.137027
5.1459684,12,81.155888
90.34053,279,81.177283
4.9346437,10,81.194144
22.688276,54,81.275256
57.85752,147,81.560313
5.2923822,12,81.578759
87.27956,202,81.876848
191.42581,512,81.988459
201.12628,512,82.060232
56.47099,153,82.106016
56.270115,133,82.187191
184.10437,512,82.220261
30.325075,112,82.228163
6.619401,15,82.243018
26.101105,46,82.259047
7.4008994,31,82.277733
6.587132,13,82.280396
4.5518146,12,82.297347
18.500114,42,82.311749
13.9768915,27,82.339155
11.396338,38,82.339204
16.918674,46,82.383038
48.216053,112,82.506989
31.13522,93,82.521483
10.224125,34,82.558489
17.739853,32,82.571186
64.22613,171,82.599212
11.694398,33,82.621477
21.937628,53,82.641277
11.765414,31,82.688466
2.8956916,7,82.699663
58.95555,158,82.838157
46.55456,120,82.885566
151.14018,512,82.893162
72.42308,184,82.908325
8.055794,17,82.920851
10.521366,19,82.938087
5.977415,17,82.948199
3.4780536,10,82.963871
20.88814,53,82.972151
6.6236835,14,82.988034
7.1523395,25,83.013631
18.03218,56,83.029934
40.542423,124,83.367062
44.4081,130,83.390691
125.44696,308,83.48517
38.48225,96,83.538573
18.363329,44,83.554289
75.22798,191,83.658223
21.635042,41,83.717838
46.565075,127,83.745671
10.000421,28,83.763356
155.09013,466,83.863083
71.437584,222,83.875707
46.858227,115,83.91956
28.927004,83,83.997848
16.51144,32,84.045688
