#{"t_start": 1783036903.96592, "env_id": "None"}
r,l,t
13.139841,58,6.156793
19.725405,83,6.19164
7.574539,24,6.194112
4.4138246,9,6.207911
12.910208,51,6.210158
3.9241512,10,6.223954
4.4541306,28,6.252611
38.630222,151,6.260802
22.8766,80,6.38695
4.4116893,11,6.405886
1.8041085,9,6.421776
44.171257,138,6.454611
8.2017565,23,6.46221
10.5372305,28,6.509179
14.14557,48,6.536616
80.740906,253,6.617864
0.14609225,6,6.629395
1.7285318,6,6.640608
0.68368477,6,6.651707
3.717355,8,6.66568
20.008986,91,6.669871
1.2922186,5,6.679766
7.690521,17,6.697155
7.714546,29,6.743262
12.791487,40,6.745988
3.1414468,9,6.761001
85.86505,297,6.769815
3.2680147,12,6.790128
7.5997014,27,6.790183
3.1108572,6,6.801092
2.8119802,16,6.817634
6.416312,22,6.836761
16.491282,61,6.860539
63.98516,208,6.888292
0.3411543,10,6.904802
8.187297,28,6.904868
19.93995,67,6.941136
4.642478,29,6.951212
2.601518,15,6.965991
2.1176949,10,6.968751
2.8082144,8,6.980618
7.2303677,21,7.004021
34.770863,120,7.011862
12.122529,31,7.055008
1.3181462,8,7.06804
40.20069,115,7.093321
11.836323,46,7.163907
0.71040577,3,7.169662
3.9824727,24,7.211594
4.0168524,17,7.240133
9.341158,38,7.300582
50.895565,146,7.304493
3.9043667,22,7.338962
5.462901,25,7.347781
80.71287,212,7.357962
73.19338,232,7.362214
6.5092645,20,7.373976
5.5295863,13,7.381168
8.115018,40,7.444117
16.350775,49,7.452288
15.945334,60,7.458873
1.146391,4,7.458906
22.010628,69,7.461458
3.389308,16,7.471485
1.0255688,10,7.478386
4.5689244,15,7.495456
6.7926435,24,7.499483
2.5473723,18,7.524532
5.0197935,45,7.533386
7.736616,37,7.539213
2.456248,7,7.54614
2.1576962,6,7.550131
3.450128,20,7.560022
3.4183424,16,7.576249
5.8153787,20,7.580065
-0.23524371,1,7.582622
2.10415,4,7.584889
1.7920041,6,7.595074
19.977457,75,7.626758
12.689138,46,7.638845
7.2257433,23,7.664424
2.5938914,7,7.676453
-0.14168373,5,7.684579
16.268131,62,7.686919
1.264296,3,7.690737
14.733349,44,7.91572
40.389053,142,7.993946
11.237817,35,8.057174
2.2880788,19,8.09169
0.25916898,5,8.101947
0.17250802,3,8.108155
6.4133024,18,8.14256
5.159265,14,8.169261
48.8114,189,8.187679
1.1324191,9,8.204352
11.458041,44,8.249136
0.82798386,9,8.266512
3.8837278,16,8.295756
23.522781,76,8.338841
88.96141,306,8.341265
73.76395,257,8.382947
4.055168,26,8.385819
12.855892,66,8.410236
13.866885,42,8.41701
2.2756846,8,8.432925
5.052177,26,8.432997
0.034668833,1,8.436174
6.537726,23,8.456908
2.6955235,17,8.46844
6.8215957,20,8.476315
11.908652,37,8.523369
1.8994483,7,8.536628
28.974112,103,8.575667
10.057119,31,8.591524
18.131977,75,8.607725
4.444543,19,8.626505
3.034836,20,8.643673
18.667786,75,8.745687
5.158245,19,8.775116
50.195652,190,8.788186
4.8829618,21,8.820221
1.9335957,6,8.829529
47.010372,134,8.854227
10.481535,23,8.892143
1.9297004,12,8.91232
60.449604,211,8.919763
2.451334,11,8.931433
1.8323575,11,8.938527
2.051306,7,8.944369
1.4293251,6,8.950009
7.658648,19,8.975559
5.654882,12,8.995892
0.7820619,8,9.009508
4.315247,11,9.027049
33.900394,121,9.031244
17.454903,62,9.052666
15.000616,37,9.086185
4.833949,13,9.108215
10.850395,39,9.115022
21.226603,56,9.121686
2.8490007,14,9.14438
11.389298,41,9.179416
0.44969437,3,9.185083
31.93528,108,9.2748
42.419895,118,9.325135
12.622042,46,9.347529
4.218144,17,9.353307
1.6705611,4,9.360485
17.954473,71,9.471014
21.534916,83,9.478853
3.091402,6,9.481379
2.7913084,7,9.492526
2.8106506,8,9.50591
15.500041,50,9.558497
3.6709068,11,9.575404
150.27863,512,9.592121
1.5964026,3,9.597435
23.27613,100,9.933283
24.65061,95,9.951586
14.149053,48,10.022437
134.68942,409,10.043976
30.661753,81,10.093754
8.656267,49,10.105844
2.7791693,13,10.116551
74.41151,250,10.120273
2.0578964,16,10.133371
15.197147,59,10.142415
6.937073,20,10.153047
8.050432,26,10.194076
21.015884,67,10.260121
10.933173,28,10.309232
2.2487578,5,10.319083
25.519098,88,10.35251
5.794693,21,10.357133
1.448321,9,10.375479
40.561325,150,10.388512
0.4255991,2,10.39349
4.2222714,14,10.403294
6.477422,28,10.409451
10.864237,40,10.466601
16.043344,55,10.507858
2.7709143,9,10.524526
25.78988,87,10.560202
-0.265286,3,10.566738
14.86896,50,10.610196
6.862233,15,10.634541
12.437724,43,10.636881
-0.007822424,3,10.642958
24.545586,106,10.651215
90.70801,295,10.659566
5.811554,18,10.672502
7.452763,36,10.721356
18.982456,45,10.730225
19.565668,65,10.751593
11.816719,46,10.758839
5.9717636,17,10.786104
8.702024,29,10.788936
6.8733344,16,10.791778
0.1324137,2,10.794629
3.5187256,13,10.814289
26.206194,82,10.885438
6.014553,18,10.920313
19.688995,60,10.930136
9.723482,26,10.969046
8.083315,20,11.004963
2.9895504,9,11.021358
0.4178316,8,11.036796
54.05764,162,11.095335
0.6002028,4,11.103157
15.006853,60,11.13865
10.310129,29,11.150058
2.3183024,12,11.170268
3.331325,9,11.185135
13.593524,39,11.205521
1.4094244,6,11.217508
65.8666,200,11.283053
2.2954984,12,11.306011
13.329007,49,11.306089
99.10992,305,11.346357
27.66804,83,11.45619
3.116605,14,11.481738
36.45471,116,11.515273
1.7035631,9,11.533424
4.7696023,43,11.557622
1.5736485,15,11.557678
2.87281,9,11.572421
8.776949,28,11.616968
76.1691,244,11.619259
48.013042,163,11.632107
-0.1047773,5,11.644277
12.081835,25,11.875603
3.326296,14,11.902381
8.994717,25,11.948215
36.619038,124,11.989561
10.030702,31,12.007105
28.411211,101,12.041209
4.7921557,20,12.045256
36.443733,116,12.04529
1.1463374,10,12.058486
13.726391,48,12.076275
7.6557374,24,12.115231
11.655994,43,12.11531
14.324008,48,12.125232
5.798574,13,12.140464
25.798794,78,12.19559
8.371599,30,12.195656
3.4204888,18,12.228413
22.497047,64,12.23454
8.880922,26,12.244722
2.7360888,10,12.254508
2.6412964,14,12.27258
8.306818,29,12.28621
7.879382,22,12.313753
29.560566,101,12.316468
6.052694,16,12.345637
16.11296,54,12.3855
15.550699,44,12.395475
17.649286,45,12.42692
12.089137,33,12.445457
36.897102,106,12.451823
8.988735,40,12.521505
27.421312,77,12.532948
8.771777,19,12.556013
23.151562,88,12.596489
34.67309,109,12.614074
11.390464,44,12.626391
5.7857056,18,12.645725
9.635491,40,12.664738
20.103304,55,12.742769
50.71894,162,12.813462
0.47160122,5,12.823573
16.575838,48,12.831768
10.289236,24,12.875279
16.147673,53,12.920092
55.7866,167,12.928293
9.066848,29,12.928355
2.9895127,6,12.932804
6.2859764,21,12.967349
51.47704,171,12.9772
6.36176,30,12.985115
7.8788347,23,13.027088
9.838443,36,13.035346
38.93993,122,13.141937
27.78034,79,13.163502
11.776587,33,13.228371
15.801759,54,13.246525
45.35919,137,13.484918
0.86235166,9,13.500142
108.877396,351,13.580811
18.84373,61,13.593483
10.229691,39,13.640342
32.420128,118,13.920831
26.109827,90,13.926187
4.1455693,9,13.935631
5.579353,10,13.950337
2.9050546,8,13.962248
147.21695,481,13.97016
8.110803,22,13.996347
7.059971,19,13.998729
2.9228954,11,14.015031
19.916245,62,14.021778
5.0177546,14,14.036543
2.4982858,10,14.051952
16.4958,46,14.122906
153.05725,472,14.135208
34.15644,93,14.165936
10.965018,29,14.212214
22.524712,62,14.221915
0.9190239,3,14.22763
3.4837399,9,14.242341
8.913774,36,14.273656
8.198595,25,14.317639
59.598736,201,14.321627
5.579146,16,14.347351
44.149303,129,14.349796
7.676754,28,14.395983
36.090736,107,14.424821
20.767838,56,14.44209
33.260384,91,14.471573
9.784415,31,14.479595
2.657819,12,14.495259
9.420096,44,14.523065
7.336357,18,14.528647
4.369793,14,14.553696
25.452162,74,14.613221
6.5145264,12,14.634557
23.54842,56,14.65134
51.09976,148,14.65842
1.799896,8,14.671166
25.370296,88,14.676174
5.7862225,16,14.678468
1.7028924,11,14.694205
2.9295988,14,14.70181
1.3462042,7,14.708849
6.145589,21,14.708904
15.8204775,44,14.711557
3.5465174,11,14.727839
3.9700828,15,14.730285
4.4767294,18,14.741423
5.9336205,13,14.749629
11.685968,24,14.78534
6.1545963,19,14.814792
5.47261,17,14.839772
20.145874,57,14.92063
5.1038666,18,14.946822
49.05814,166,14.984147
16.855328,62,15.040228
3.4449778,9,15.054818
8.688839,22,15.088302
83.579994,258,15.115998
8.786121,30,15.164207
45.842186,117,15.168174
14.628079,38,15.226167
17.09888,44,15.234652
9.539746,22,15.268538
-0.3596628,7,15.280195
34.270187,146,15.316692
4.6427326,13,15.335494
13.486817,45,15.347811
